week,temp_av,score,score_accum,comp_score,comp_score_accum,price,quantity,advertising,score_ratio,views,customers,xmas,quantity_lag1,quantity_lag2,quantity_diff1,quantity_diff2
2018_01,6.38888888888889,0.0,0.0,0.2857142857142857,2.0,24.990000000000002,0.0,0.04041666666666666,0.0,,,0,0.0,0.0,0.0,0.0
2018_02,5.928571428571429,0.0,0.0,1.5714285714285714,13.0,24.990000000000002,0.0,0.04041666666666666,0.0,,,0,0.0,0.0,0.0,0.0
2018_03,5.4682539682539675,0.0,0.0,1.0,20.0,24.990000000000002,0.0,0.04041666666666666,0.0,,,0,0.0,0.0,0.0,0.0
2018_04,8.801587301587302,0.0,0.0,0.2857142857142857,22.0,24.990000000000002,0.0,0.04041666666666666,0.0,,,0,0.0,4.0,0.0,-4.0
2018_05,5.611111111111112,0.0,0.0,0.5714285714285714,26.0,24.990000000000002,0.0,0.04041666666666666,0.0,,,0,4.0,7.0,-4.0,-3.0
2018_06,3.380952380952381,0.0,0.0,0.8571428571428571,32.0,24.990000000000002,4.0,0.04041666666666666,0.0,,,0,7.0,5.0,-3.0,2.0
2018_07,4.873015873015873,1.4285714285714286,10.0,0.0,34.0,24.990000000000002,7.0,0.04041666666666666,0.21135727018079958,,,0,5.0,8.0,2.0,-3.0
2018_08,4.317460317460318,0.14285714285714285,11.0,-0.14285714285714285,32.0,27.132857142857144,5.0,1.8745454545454547,0.3748772308948299,,,0,8.0,17.0,-3.0,-9.0
2018_09,-0.007936507936507908,0.8571428571428571,17.0,0.2857142857142857,35.0,28.56142857142857,8.0,2.566307977736549,0.45532279045706664,,,0,17.0,8.0,-9.0,9.0
2018_10,7.666666666666666,0.8571428571428571,23.0,0.42857142857142855,36.0,29.990000000000002,17.0,4.295714285714285,0.5373288513841509,,,0,8.0,9.0,9.0,-1.0
2018_11,6.396825396825397,0.0,23.0,1.4285714285714286,46.0,29.990000000000002,8.0,3.865850340136054,0.5665824543533521,,,0,9.0,0.0,-1.0,9.0
2018_12,6.3730158730158735,-0.14285714285714285,23.0,0.2857142857142857,50.0,29.990000000000002,9.0,1.2866666666666668,0.4648706004140787,,,0,0.0,9.0,9.0,-9.0
2018_13,6.507936507936508,0.0,22.0,0.42857142857142855,51.0,29.990000000000002,0.0,1.2866666666666668,0.4429271708683474,,,0,9.0,6.0,-9.0,3.0
2018_14,10.222222222222223,0.5714285714285714,26.0,1.1428571428571428,59.0,29.990000000000002,9.0,6.124468864468864,0.47477155236894886,33.0,28.0,0,6.0,8.0,3.0,-2.0
2018_15,9.968253968253967,0.0,26.0,1.2857142857142858,68.0,28.132857142857144,6.0,6.93076923076923,0.4091012676256943,36.142857142857146,31.571428571428573,0,8.0,3.0,-2.0,5.0
2018_16,16.53968253968254,0.0,26.0,-0.2857142857142857,68.0,26.56142857142857,8.0,6.93076923076923,0.3922841864018335,29.285714285714285,23.571428571428573,0,3.0,12.0,5.0,-9.0
2018_17,10.198412698412698,0.0,26.0,0.5714285714285714,73.0,29.990000000000002,3.0,6.93076923076923,0.363475181615231,24.285714285714285,19.857142857142858,0,12.0,3.0,-9.0,9.0
2018_18,12.531746031746033,0.0,26.0,0.14285714285714285,71.0,29.990000000000002,12.0,1.999,0.3676918654785858,31.571428571428573,25.0,0,3.0,8.0,9.0,-5.0
2018_19,14.650793650793648,0.0,26.0,0.2857142857142857,73.0,28.275714285714287,3.0,3.8489090909090913,0.3633306689451779,28.714285714285715,22.857142857142858,0,8.0,7.0,-5.0,1.0
2018_20,14.087301587301585,0.0,26.0,0.0,73.0,24.990000000000002,8.0,6.3154545454545445,0.35616438356164387,19.285714285714285,16.571428571428573,0,7.0,13.0,1.0,-6.0
2018_21,16.73015873015873,0.0,26.0,0.8571428571428571,79.0,24.990000000000002,7.0,6.3154545454545445,0.3468727654057982,27.571428571428573,23.428571428571427,0,13.0,15.0,-6.0,-2.0
2018_22,18.047619047619044,0.14285714285714285,27.0,-0.7142857142857143,76.0,24.990000000000002,13.0,6.241424093148231,0.35236740499898395,32.57142857142857,24.857142857142858,0,15.0,16.0,-2.0,-1.0
2018_23,16.246031746031747,0.2857142857142857,29.0,-0.42857142857142855,72.0,25.22809523809524,15.0,5.797241379310344,0.4052090319695953,30.571428571428573,24.571428571428573,0,16.0,17.0,-1.0,-1.0
2018_24,16.603174603174605,0.2857142857142857,31.0,0.7142857142857143,76.0,25.704285714285714,16.0,5.797241379310344,0.40641020359116975,39.0,30.142857142857142,0,17.0,11.0,-1.0,6.0
2018_25,18.3015873015873,-0.2857142857142857,31.0,1.4285714285714286,86.0,24.990000000000002,17.0,5.797241379310344,0.3681627703657928,34.142857142857146,27.571428571428573,0,11.0,3.0,6.0,8.0
2018_26,20.896825396825395,0.0,29.0,0.2857142857142857,90.0,24.990000000000002,11.0,5.797241379310344,0.3285479378502634,29.428571428571427,22.428571428571427,0,3.0,9.0,8.0,-6.0
2018_27,22.992063492063494,0.0,29.0,0.0,88.0,24.132857142857144,3.0,6.08439853805816,0.32954545454545453,14.857142857142858,12.0,0,9.0,10.0,-6.0,-1.0
2018_28,20.68253968253968,0.0,29.0,0.0,88.0,21.990000000000002,9.0,6.132258064516129,0.32954545454545453,17.142857142857142,13.714285714285714,0,10.0,9.0,-1.0,1.0
2018_29,21.293650793650794,0.0,29.0,0.0,88.0,21.990000000000002,10.0,6.132258064516129,0.32954545454545453,15.0,9.428571428571429,0,9.0,15.0,1.0,-6.0
2018_30,22.746031746031747,0.0,29.0,0.2857142857142857,90.0,21.990000000000002,9.0,6.132258064516129,0.3284992784992785,13.285714285714286,11.428571428571429,0,15.0,16.0,-6.0,-1.0
2018_31,21.817460317460313,0.0,29.0,0.2857142857142857,92.0,21.990000000000002,15.0,6.263632607659304,0.31521739130434784,40.0,32.0,0,16.0,13.0,-1.0,3.0
2018_32,18.666666666666668,-0.42857142857142855,26.0,0.2857142857142857,94.0,21.990000000000002,16.0,6.5920689655172415,0.2791727236685609,54.57142857142857,37.0,0,13.0,19.0,3.0,-6.0
2018_33,18.952380952380953,0.0,26.0,0.2857142857142857,96.0,21.990000000000002,13.0,6.5920689655172415,0.2757725430597771,51.857142857142854,40.42857142857143,0,19.0,29.0,-6.0,-10.0
2018_34,17.41269841269841,0.2857142857142857,28.0,0.0,96.0,21.990000000000002,19.0,6.5920689655172415,0.2916666666666667,49.42857142857143,38.857142857142854,0,29.0,19.0,-10.0,10.0
2018_35,16.706349206349206,0.42857142857142855,31.0,0.7142857142857143,101.0,25.289319727891154,29.0,6.5920689655172415,0.3064250222014683,31.142857142857142,19.714285714285715,0,19.0,20.0,10.0,-1.0
2018_36,16.41269841269841,0.2857142857142857,33.0,-0.14285714285714285,102.0,25.990000000000002,19.0,9.052962962962964,0.3188515406162465,29.285714285714285,20.285714285714285,0,20.0,22.0,-1.0,-2.0
2018_37,15.777777777777777,0.42857142857142855,36.0,0.8571428571428571,108.0,25.990000000000002,20.0,9.052962962962964,0.3369251909762454,25.857142857142858,17.714285714285715,0,22.0,31.0,-2.0,-9.0
